"facility_id","name","address","city","state","zip_code","county","telephone","hospital_type","hospital_ownership","emergency_services","bed_count"
"10073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","Alabama","36251","CLAY","(256) 354-2131","Acute Care Hospitals","Government - Hospital District or Authority","Yes","370"
"10078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET","ANNISTON","Alabama","36207","CALHOUN","(256) 235-5121","Acute Care Hospitals","Government - Local","Yes","289"
"10079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","Alabama","35611","LIMESTONE","(256) 233-9292","Acute Care Hospitals","Government - Hospital District or Authority","Yes","274"
"10083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","Alabama","36535","BALDWIN","(251) 949-3400","Acute Care Hospitals","Proprietary","Yes","150"
"10085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","1201 7TH STREET SE","DECATUR","Alabama","35601","MORGAN","(256) 341-2000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","463"
"10086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","WINFIELD","Alabama","35594","FAYETTE","(205) 487-7736","Acute Care Hospitals","Proprietary","Yes","154"
"10087","USA HEALTH UNIVERSITY HOSPITAL","2451 FILLINGIM STREET","MOBILE","Alabama","36617","MOBILE","(251) 471-7110","Acute Care Hospitals","Government - State","Yes","343"
"10089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","Alabama","35502","WALKER","(205) 387-4000","Acute Care Hospitals","Proprietary","Yes","419"
"10091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","GROVE HILL","Alabama","36451","CLARKE","(251) 275-3191","Acute Care Hospitals","Government - Hospital District or Authority","Yes","406"
"10092","DCH REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","Alabama","35401","TUSCALOOSA","(205) 759-7111","Acute Care Hospitals","Government - Hospital District or Authority","Yes","234"
"10095","HALE COUNTY HOSPITAL","508 GREEN STREET","GREENSBORO","Alabama","36744","HALE","(334) 624-3024","Acute Care Hospitals","Government - Hospital District or Authority","Yes","120"
"10097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","WETUMPKA","Alabama","36092","ELMORE","(334) 567-4311","Acute Care Hospitals","Proprietary","Yes","428"
"10099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","Alabama","36426","ESCAMBIA","(251) 867-8061","Acute Care Hospitals","Government - Hospital District or Authority","Yes","266"
"10100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","Alabama","36532","BALDWIN","(251) 928-2375","Acute Care Hospitals","Voluntary non-profit - Private","Yes","373"
"10101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","Alabama","35161","TALLADEGA","(256) 761-4542","Acute Care Hospitals","Voluntary non-profit - Private","Yes","487"
"10102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","CAMDEN","Alabama","36726","WILCOX","(334) 682-4131","Acute Care Hospitals","Government - Local","Yes","188"
"10103","PRINCETON BAPTIST MEDICAL CENTER","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","Alabama","35211","JEFFERSON","(205) 783-3800","Acute Care Hospitals","Voluntary non-profit - Church","Yes","415"
"10104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","BIRMINGHAM","Alabama","35243","JEFFERSON","(205) 971-1000","Acute Care Hospitals","Proprietary","Yes","113"
"10108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","Alabama","36067","AUTAUGA","(334) 361-4267","Acute Care Hospitals","Government - Hospital District or Authority","Yes","341"
"10110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","UNION SPRINGS","Alabama","36089","BULLOCK","(334) 738-2140","Acute Care Hospitals","Proprietary","Yes","364"
"10112","WHITFIELD REGIONAL HOSPITAL","105 HIGHWAY 80 EAST","DEMOPOLIS","Alabama","36732","MARENGO","(334) 289-4000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","445"
"10113","MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE","MOBILE","Alabama","36607","MOBILE","(251) 435-4700","Acute Care Hospitals","Voluntary non-profit - Private","Yes","152"
"10118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","Alabama","36701","DALLAS","(334) 418-4100","Acute Care Hospitals","Proprietary","Yes","439"
"10120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","Alabama","36460","MONROE","(251) 575-3111","Acute Care Hospitals","Government - Hospital District or Authority","Yes","191"
"10125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E","HALEYVILLE","Alabama","35565","WINSTON","(205) 485-7117","Acute Care Hospitals","Proprietary","Yes","466"
"10126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","Alabama","36081","PIKE","(334) 670-5000","Acute Care Hospitals","Government - Federal","Yes","363"
"10128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","JACKSON","Alabama","36545","CLARKE","(251) 246-9021","Acute Care Hospitals","Proprietary","Yes","134"
"10129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","Alabama","36507","BALDWIN","(251) 937-5521","Acute Care Hospitals","Voluntary non-profit - Private","Yes","305"
"10130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","PELL CITY","Alabama","35125","ST. CLAIR","(205) 338-3301","Acute Care Hospitals","Voluntary non-profit - Private","Yes","180"
"10131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","Alabama","35801","MADISON","(256) 882-3100","Acute Care Hospitals","Proprietary","Yes","149"
"10138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","YORK","Alabama","36925","SUMTER","(205) 392-5263","Acute Care Hospitals","Government - Hospital District or Authority","Yes","459"
"10139","BROOKWOOD BAPTIST MEDICAL CENTER","1280 COLUMBIANA ROAD STE 102","VESTAVIA","Alabama","35216","JEFFERSON","(205) 877-1000","Acute Care Hospitals","Proprietary","Yes","487"
"10144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","Alabama","36608","MOBILE","(251) 460-5220","Acute Care Hospitals","Proprietary","Yes","101"
"10148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","EVERGREEN","Alabama","36401","CONECUH","(251) 578-2480","Acute Care Hospitals","Proprietary","Yes","489"
"10149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","Alabama","36117","MONTGOMERY","(334) 244-8330","Acute Care Hospitals","Government - Hospital District or Authority","Yes","153"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","Alabama","35233","JEFFERSON","(205) 933-4515","Acute Care - Veterans Administration","Veterans Health Administration","Yes","205"
"10150","THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","Alabama","36037","BUTLER","(334) 382-2200","Acute Care Hospitals","Proprietary","Yes","359"
"10157","NORTH ALABAMA SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","Alabama","35661","COLBERT","(256) 386-1601","Acute Care Hospitals","Proprietary","Yes","409"
"10158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","Alabama","35653","FRANKLIN","(256) 332-1611","Acute Care Hospitals","Proprietary","Yes","290"
"10164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","Alabama","35150","TALLADEGA","(256) 249-5000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","317"
"10168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","Alabama","36867","RUSSELL","(334) 732-3000","Acute Care Hospitals","Government - State","Yes","143"
"10169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","ATMORE","Alabama","36502","ESCAMBIA","(251) 368-2500","Acute Care Hospitals","Government - Hospital District or Authority","Yes","261"
"10173","ST VINCENT'S CHILTON","2030 LAY DAM ROAD","CLANTON","Alabama","35045","CHILTON","(205) 258-4400","Acute Care Hospitals","Voluntary non-profit - Church","Yes","301"
"10174","THOMASVILLE REGIONAL MEDICAL CENTER","300 MED PARK DRIVE","THOMASVILLE","Alabama","36784","CLARKE","(205) 873-1442","Acute Care Hospitals","Voluntary non-profit - Private","Yes","369"
"10175","EAMC-LANIER","4800 48TH STREET","VALLEY","Alabama","36854","CHAMBERS","(334) 756-9180","Acute Care Hospitals","Government - Hospital District or Authority","Yes","450"
"01019F","VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY","215 PERRY HILL ROAD","MONTGOMERY","Alabama","36109","MONTGOMERY","(334) 260-4100","Acute Care - Veterans Administration","Veterans Health Administration","Yes","403"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD EAST","TUSCALOOSA","Alabama","35404","TUSCALOOSA","(205) 554-2000","Acute Care - Veterans Administration","Veterans Health Administration","No","370"
"11300","WASHINGTON COUNTY HOSPITAL","14600 ST. STEPHENS AVENUE","CHATOM","Alabama","36518","WASHINGTON","(251) 847-2223","Critical Access Hospitals","Government - Local","Yes","89"
"11302","RED BAY HOSPITAL","211 HOSPITAL ROAD","RED BAY","Alabama","35582","FRANKLIN","(256) 356-9532","Critical Access Hospitals","Government - Hospital District or Authority","Yes","131"
"11305","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","ONEONTA","Alabama","35121","BLOUNT","(205) 274-3000","Critical Access Hospitals","Voluntary non-profit - Private","No","102"
"11306","TANNER MEDICAL CENTER-EAST ALABAMA","1032 MAIN STREET SOUTH","WEDOWEE","Alabama","36278","RANDOLPH","(256) 357-2111","Critical Access Hospitals","Government - Hospital District or Authority","Yes","73"
"13300","THE CHILDREN'S HOSPITAL OF ALABAMA","1600 SEVENTH AVENUE SOUTH","BIRMINGHAM","Alabama","35233","JEFFERSON","(205) 939-9100","Children's","Voluntary non-profit - Private","Yes","316"
"13301","USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL","1700 CENTER STREET","MOBILE","Alabama","36604","MOBILE","(251) 415-1000","Children's","Government - State","Yes","351"
"14000","HILL CREST BEHAVIORAL HEALTH SERVICES","6869 FIFTH AVENUE SOUTH","BIRMINGHAM","Alabama","35212","JEFFERSON","(205) 833-9000","Psychiatric","Proprietary","No","287"
"14006","MOUNTAIN VIEW HOSPITAL","3201 SCENIC HIGHWAY","GADSDEN","Alabama","35902","ETOWAH","(256) 546-9265","Psychiatric","Proprietary","No","479"
"14007","BRYCE HOSPITAL","200 UNIVERSITY BLVD","TUSCALOOSA","Alabama","35401","TUSCALOOSA","(205) 759-0750","Psychiatric","Government - State","No","140"
"14012","MARY S HARPER GERIATRIC PSYCHIATRY CENTER","201 UNIVERSITY BLVD","TUSCALOOSA","Alabama","35401","TUSCALOOSA","(205) 759-0900","Psychiatric","Government - State","Yes","256"
"14014","BAYPOINTE BEHAVIORAL HEALTH","5800 SOUTHLAND DRIVE","MOBILE","Alabama","36693","MOBILE","(251) 662-7998","Psychiatric","Voluntary non-profit - Other","Yes","114"
"14015","BEACON CHILDREN'S HOSPITAL","150 HOSPITAL DRIVE","LUVERNE","Alabama","36049","CRENSHAW","(334) 335-5040","Psychiatric","Proprietary","No","400"
"14017","EASTPOINTE HOSPITAL","7400 ROPER LANE","DAPHNE","Alabama","36526","BALDWIN","(251) 378-6500","Psychiatric","Voluntary non-profit - Other","No","444"
"20001","PROVIDENCE ALASKA MEDICAL CENTER","3200 PROVIDENCE DRIVE","ANCHORAGE","Alaska","99508","ANCHORAGE","(907) 562-2211","Acute Care Hospitals","Voluntary non-profit - Church","Yes","108"
"20006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","Alaska","99645","MATANUSKA-SUSITNA","(907) 861-6000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","443"
"20008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","Alaska","99801","JUNEAU","(907) 796-8900","Acute Care Hospitals","Government - Local","Yes","228"
"20012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","Alaska","99701","FAIRBANKS NORTH STAR","(907) 452-8181","Acute Care Hospitals","Voluntary non-profit - Private","Yes","235"
"20017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","Alaska","99508","ANCHORAGE","(907) 276-1131","Acute Care Hospitals","Proprietary","Yes","162"
"20018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","BETHEL","Alaska","99559","BETHEL","(907) 543-6300","Acute Care Hospitals","Tribal","Yes","238"
"20024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","Alaska","99669","KENAI PENINSULA","(907) 262-4404","Acute Care Hospitals","Voluntary non-profit - Other","Yes","180"
"20026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","Alaska","99508","ANCHORAGE","(907) 729-3971","Acute Care Hospitals","Government - Federal","Yes","491"
"02013F","673rd Medical Group (Joint Base Elmendorf-Richardson)","673 MDG 5955 Zeamer Ave","JBER","Alaska","99506","ANCHORAGE","(907) 384-1110","Acute Care - Department of Defense","Department of Defense","Yes","262"
"02014F","Bassett ACH (FT Wainwright)","4076 Neely Road","Fort Wainwright","Alaska","99703","FAIRBANKS NORTH STAR","(907) 361-4000","Acute Care - Department of Defense","Department of Defense","Yes","388"
"21301","PROVIDENCE VALDEZ MEDICAL CENTER","PO BOX 550","VALDEZ","Alaska","99686","VALDEZ-CORDOVA","(907) 835-2249","Critical Access Hospitals","Government - Local","Yes","172"
"21304","PETERSBURG MEDICAL CENTER","PO BOX 589","PETERSBURG","Alaska","99833","PETERSBURG BOROUGH","(907) 772-4291","Critical Access Hospitals","Government - Local","Yes","90"
"21305","SEARHC WRANGELL MEDICAL CENTER-CAH","232 WOOD STREET","WRANGELL","Alaska","99929","WRANGELL CITY AND BOROUGH","(907) 874-7000","Critical Access Hospitals","Tribal","Yes","77"
"21306","PROVIDENCE KODIAK ISLAND MEDICAL CTR","1915 EAST REZANOF DRIVE","KODIAK","Alaska","99615","KODIAK ISLAND BOROUGH","(907) 486-9592","Critical Access Hospitals","Voluntary non-profit - Church","Yes","184"
"21307","CORDOVA COMMUNITY MEDICAL CENTER","PO BOX 160 - 602 CHASE AVENUE","CORDOVA","Alaska","99574","VALDEZ-CORDOVA","(907) 424-8000","Critical Access Hospitals","Government - Local","Yes","121"
"21308","NORTON SOUND REGIONAL HOSPITAL","1000 GREG KRUSCHEK AVENUE (P O BOX 966)","NOME","Alaska","99762","NOME","(907) 443-3311","Critical Access Hospitals","Tribal","Yes","61"
"21309","BRISTOL BAY AREA HEALTH CORPORATION","P O BOX 130","DILLINGHAM","Alaska","99576","DILLINGHAM","(907) 842-5201","Critical Access Hospitals","Voluntary non-profit - Private","Yes","82"
"21310","MANIILAQ HEALTH CENTER","PO BOX 43","KOTZEBUE","Alaska","99752","NORTHWEST ARTIC BOROUGH","(907) 442-3321","Critical Access Hospitals","Tribal","Yes","97"
"21311","PEACEHEALTH KETCHIKAN MEDICAL CENTER","3100 TONGASS AVENUE","KETCHIKAN","Alaska","99901","KETCHIKAN GATEWAY","(907) 225-5171","Critical Access Hospitals","Voluntary non-profit - Church","Yes","111"
"21312","SAMUEL SIMMONDS MEMORIAL HOSPITAL","7000 UULA ST","BARROW","Alaska","99723","NORTH SLOPE BOROUH","(907) 852-4611","Critical Access Hospitals","Tribal","Yes","86"
"21313","SOUTH PENINSULA HOSPITAL","4300 BARTLETT ST","HOMER","Alaska","99603","KENAI PENINSULA","(907) 235-8101","Critical Access Hospitals","Voluntary non-profit - Private","Yes","148"
"21314","SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM","222 TONGASS DR","SITKA","Alaska","99835","SITKA BOROUGH","(907) 966-2411","Critical Access Hospitals","Voluntary non-profit - Private","Yes","153"
"24001","NORTH STAR HOSPITAL","2530 DEBARR RD","ANCHORAGE","Alaska","99508","ANCHORAGE","(907) 264-3526","Psychiatric","Proprietary","Yes","313"
"24002","ALASKA PSYCHIATRIC INSTITUTE","3700 PIPER STREET","ANCHORAGE","Alaska","99508","ANCHORAGE","(907) 269-7100","Psychiatric","Government - State","No","134"
"30002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD","PHOENIX","Arizona","85006","MARICOPA","(602) 839-2000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","326"
"30006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","Arizona","85712","PIMA","(520) 324-1399","Acute Care Hospitals","Voluntary non-profit - Private","Yes","200"
"30007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","Arizona","86326","YAVAPAI","(928) 773-2357","Acute Care Hospitals","Voluntary non-profit - Private","Yes","230"
"30010","ST. MARY'S HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","Arizona","85745","PIMA","(520) 872-3000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","356"
"30011","ST JOSEPH'S HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","Arizona","85711","PIMA","(520) 873-3000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","104"
"30012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","Arizona","86301","YAVAPAI","(928) 445-2700","Acute Care Hospitals","Voluntary non-profit - Private","Yes","317"
"30013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","Arizona","85364","YUMA","(928) 336-7600","Acute Care Hospitals","Voluntary non-profit - Private","Yes","354"
"30014","HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER","250 EAST DUNLAP AVENUE","PHOENIX","Arizona","85020","MARICOPA","(602) 331-5862","Acute Care Hospitals","Voluntary non-profit - Private","Yes","497"
"30016","BANNER CASA GRANDE MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","Arizona","85122","PINAL","(520) 381-6300","Acute Care Hospitals","Voluntary non-profit - Other","Yes","458"
"30022","VALLEYWISE HEALTH MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","Arizona","85008","MARICOPA","(602) 344-5011","Acute Care Hospitals","Government - Local","No","382"
"30023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","Arizona","86001","COCONINO","(928) 779-3366","Acute Care Hospitals","Voluntary non-profit - Private","Yes","492"
"30024","ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","Arizona","85013","MARICOPA","(602) 406-5001","Acute Care Hospitals","Voluntary non-profit - Church","Yes","306"
"30030","ABRAZO CENTRAL CAMPUS","2000 WEST BETHANY HOME ROAD","PHOENIX","Arizona","85015","MARICOPA","(602) 249-0212","Acute Care Hospitals","Physician","Yes","114"
"30036","CHANDLER REGIONAL MEDICAL CENTER","1955 WEST FRYE ROAD","CHANDLER","Arizona","85224","MARICOPA","(480) 728-3000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","445"
"30037","TEMPE ST LUKES HOSPITAL","1500 S MILL AVE","TEMPE","Arizona","85282","MARICOPA","(480) 784-5566","Acute Care Hospitals","Proprietary","Yes","141"
"30038","HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","Arizona","85251","MARICOPA","(480) 882-4004","Acute Care Hospitals","Proprietary","Yes","479"
"30043","CANYON VISTA MEDICAL CENTER","5700 EAST HIGHWAY 90","SIERRA VISTA","Arizona","85635","COCHISE","(520) 263-2220","Acute Care Hospitals","Voluntary non-profit - Other","Yes","278"
"30055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","Arizona","86401","MOHAVE","(928) 757-2101","Acute Care Hospitals","Government - Hospital District or Authority","Yes","162"
"30061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","Arizona","85351","MARICOPA","(623) 832-4000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","451"
